DT_NOTIFIC;SG_UF_NOT;ID_MUNICIP;BRANCA;PRETA;AMARELA;PARDA;INDIGENA;IGNORADO_RACA;MASCULINO;IGNORADO_SEXO;FEMININO;1TRIMESTRE;2TRIMESTRE;3TRIMESTRE;IDADE_GESTANTE_IGNORADA;NAO;NAO_APLICA;IGNORADO_GESTANTE;LABORATORIAL;CLINICO_EPIDEMIOLOGICO;CLINICO;IGNORADO
12/2009;MG;ABADIA DOS DOURADOS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
09/2009;MG;ABAETE;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2013;MG;ABRE CAMPO;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2013;MG;AGUAS FORMOSAS;1;0;0;1;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0
09/2013;MG;AGUAS FORMOSAS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
08/2009;MG;ALAGOA;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
08/2014;MG;ALAGOA;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
05/2018;MG;ALEM PARAIBA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2018;MG;ALEM PARAIBA;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
08/2009;MG;ALEM PARAIBA;11;3;0;1;0;0;9;0;6;0;1;1;0;6;6;1;1;0;0;14
08/2012;MG;ALEM PARAIBA;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
08/2013;MG;ALEM PARAIBA;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2018;MG;ALEM PARAIBA;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
09/2009;MG;ALEM PARAIBA;3;1;0;2;0;0;3;0;3;0;0;0;0;2;3;1;2;0;0;4
11/2018;MG;ALEM PARAIBA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
04/2010;MG;ALFENAS;3;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;1;0;0;2
04/2015;MG;ALFENAS;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
04/2017;MG;ALFENAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
04/2018;MG;ALFENAS;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
05/2010;MG;ALFENAS;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
05/2013;MG;ALFENAS;1;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;2;0;0;0
05/2014;MG;ALFENAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2009;MG;ALFENAS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
06/2010;MG;ALFENAS;2;0;0;1;0;0;2;0;1;0;0;0;0;1;2;0;2;0;0;1
06/2013;MG;ALFENAS;2;0;0;1;0;0;2;0;1;0;0;0;0;2;1;0;3;0;0;0
07/2009;MG;ALFENAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
07/2012;MG;ALFENAS;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
07/2013;MG;ALFENAS;2;0;0;0;0;1;1;0;2;0;0;0;0;1;2;0;3;0;0;0
07/2014;MG;ALFENAS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
08/2009;MG;ALFENAS;6;0;0;0;0;0;2;0;4;0;0;0;0;0;6;0;5;0;0;1
08/2012;MG;ALFENAS;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1
08/2013;MG;ALFENAS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
08/2014;MG;ALFENAS;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0
08/2018;MG;ALFENAS;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
09/2009;MG;ALFENAS;9;2;0;2;0;1;5;0;9;0;0;0;0;4;10;0;13;0;0;1
09/2014;MG;ALFENAS;3;0;0;0;0;1;2;0;2;0;0;0;0;2;2;0;3;0;0;1
09/2018;MG;ALFENAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
10/2009;MG;ALFENAS;3;0;0;1;0;0;3;0;1;0;0;1;0;1;2;0;4;0;0;0
10/2010;MG;ALFENAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
11/2015;MG;ALFENAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
11/2017;MG;ALFENAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
12/2009;MG;ALFENAS;2;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;2;0;0;0
07/2018;MG;ALPINOPOLIS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
05/2013;MG;ALTEROSA;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
06/2013;MG;ALTEROSA;0;0;0;2;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0
07/2012;MG;ALTEROSA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
09/2009;MG;ALTEROSA;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0
10/2009;MG;ALTEROSA;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
05/2017;MG;ALVINOPOLIS;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
09/2009;MG;ALVINOPOLIS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
01/2013;MG;ANDRADAS;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
03/2013;MG;ANDRADAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
05/2013;MG;ANDRADAS;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
06/2013;MG;ANDRADAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2015;MG;ANDRADAS;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1
07/2013;MG;ANDRADAS;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
09/2009;MG;ANDRADAS;4;0;0;0;0;0;3;0;1;1;0;0;0;1;2;0;0;0;0;4
10/2009;MG;ANDRADAS;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2
08/2009;MG;ANDRELANDIA;1;1;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;2
09/2009;MG;ANDRELANDIA;3;2;0;0;0;0;2;0;3;0;0;0;0;1;4;0;0;0;0;5
